name,dexID,type1,type2,Ability 1,Ability 2,Hidden,weight (in lbs),baseStatTotal,baseHP,baseAtk,baseDef,baseSpAtk,baseSpDef,baseSpeed,gen9Legal,mostRecentUsageTier
Pidgeotto,17,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,66.1,349,63,60,55,50,50,71,FALSE,PU
Pidgeot,18,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,87.1,479,83,80,75,70,70,101,FALSE,PU
MegaPidgeot,18.1,Normal,Flying,No Guard,,,111.3,579,83,80,80,135,80,121,FALSE,UU
Rattata,19,Normal,,Run Away,Guts,Hustle,7.7,253,30,56,35,25,35,72,FALSE,PU
AlolanRattata,19.1,Dark,Normal,Gluttony,Hustle,Thick Fat,8.4,253,30,56,35,25,35,72,FALSE,PU
Raticate,20,Normal,,Run Away,Guts,Hustle,56.2,413,55,81,60,50,70,97,FALSE,PU
AlolanRaticate,20.1,Dark,Normal,Gluttony,Hustle,Thick Fat,56.2,413,75,71,70,40,80,77,FALSE,PU
Spearow,21,Normal,Flying,Keen Eye,,Sniper,4.4,262,40,60,30,31,31,70,FALSE,PU
Fearow,22,Normal,Flying,Keen Eye,,Sniper,83.8,442,65,90,65,61,61,100,FALSE,PU
Ekans,23,Poison,,Intimidate,Shed Skin,Unnerve,15.2,288,35,60,44,40,54,55,FALSE,PU
Arbok,24,Poison,,Intimidate,Shed Skin,Unnerve,143.3,448,60,95,69,65,79,80,FALSE,PU
Pikachu,25,Electric,,Static,,Lightning Rod,13.2,320,35,55,40,50,50,90,TRUE,PU
Raichu,26,Electric,,Static,,Lightning Rod,46.3,485,60,90,55,90,80,110,TRUE,PU
AlolanRaichu,26.1,Electric,Psychic,Surge Surfer,,,46.3,485,60,85,50,95,85,110,FALSE,NU
Sandshrew,27,Ground,,Sand Veil,,Sand Rush,88.2,300,50,75,85,20,30,40,FALSE,PU
AlolanSandshrew,27.1,Ice,Steel,Snow Cloak,,Slush Rush,88.2,300,50,75,90,10,35,40,FALSE,RU
Sandslash,28,Ground,,Sand Veil,,Sand Rush,121.3,450,75,100,110,45,55,65,FALSE,PU
AlolanSandslash,28.1,Ice,Steel,Snow Cloak,,Slush Rush,121.3,450,75,100,120,25,65,65,FALSE,RU
Nidoran(Female),29,Poison,,Poison Point,Rivalry,Hustle,15.4,275,55,47,52,40,40,41,FALSE,PU
Nidorina,30,Poison,,Poison Point,Rivalry,Hustle,44.1,365,70,62,67,55,55,56,FALSE,PU
Nidoqueen,31,Poison,Ground,Poison Point,Rivalry,Sheer Force,132.3,505,90,92,87,75,85,76,FALSE,RU
Nidoran(Male),32,Poison,,Poison Point,Rivalry,Hustle,19.8,273,46,57,40,40,40,50,FALSE,PU
Nidorino,33,Poison,,Poison Point,Rivalry,Hustle,43,365,61,72,57,55,55,65,FALSE,PU
Nidoking,34,Poison,Ground,Poison Point,Rivalry,Sheer Force,136.7,505,81,102,77,85,75,85,FALSE,UU
Clefairy,35,Fairy,,Cute Charm,Magic Guard,Friend Guard,16.5,323,70,45,48,60,65,35,FALSE,PU
Clefable,36,Fairy,,Cute Charm,Magic Guard,Unaware,88.2,483,95,70,73,95,90,60,FALSE,OU
Vulpix,37,Fire,,Flash Fire,,Drought,21.8,299,38,41,40,50,65,65,FALSE,PU
AlolanVulpix,37.1,Ice,,Snow Cloak,,Snow Warning,21.8,299,38,41,40,50,65,65,FALSE,PU
Ninetales,38,Fire,,Flash Fire,,Drought,43.9,505,73,76,75,81,100,100,FALSE,PU
AlolanNinetales,38.1,Ice,Fairy,Snow Cloak,,Snow Warning,43.9,505,73,67,75,81,100,109,FALSE,OU
Jigglypuff,39,Normal,Fairy,Cute Charm,Competitive,Friend Guard,12.1,270,115,45,20,45,25,20,TRUE,PU
Wigglytuff,40,Normal,Fairy,Cute Charm,Competitive,Frisk,26.5,435,140,70,45,85,50,45,TRUE,PU
Zubat,41,Poison,Flying,Inner Focus,,Infiltrator,16.5,245,40,45,35,30,40,55,FALSE,PU
Golbat,42,Poison,Flying,Inner Focus,,Infiltrator,121.3,455,75,80,70,65,75,90,FALSE,PU
Oddish,43,Grass,Poison,Chlorophyll,,Run Away,11.9,320,45,50,55,75,65,30,FALSE,PU
Gloom,44,Grass,Poison,Chlorophyll,,Stench,19,395,60,65,70,85,75,40,FALSE,PU
Vileplume,45,Grass,Poison,Chlorophyll,,Effect Spore,41,490,75,80,85,110,90,50,FALSE,NU
Paras,46,Bug,Grass,Effect Spore,Dry Skin,Damp,11.9,285,35,70,55,45,55,25,FALSE,PU
Parasect,47,Bug,Grass,Effect Spore,Dry Skin,Damp,65,405,60,95,80,60,80,30,FALSE,PU
Venonat,48,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,66.1,305,60,55,50,40,55,45,TRUE,PU
Venomoth,49,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,27.6,450,70,65,60,90,75,90,TRUE,RU
Diglett,50,Ground,,Sand Veil,Arena Trap,Sand Force,2.2,265,10,55,25,35,45,95,TRUE,PU
AlolanDiglett,50.1,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,2.2,265,10,55,30,35,45,90,FALSE,PU
Dugtrio,51,Ground,,Sand Veil,Arena Trap,Sand Force,146.8,425,35,100,50,50,70,120,TRUE,PU
AlolanDugtrio,51.1,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,146.8,425,35,100,60,50,70,110,FALSE,PU
Meowth,52,Normal,,Pickup,Technician,Unnerve,9.3,290,40,45,35,40,40,90,TRUE,PU
AlolanMeowth,52.1,Dark,,Pickup,Technician,Rattled,9.3,290,40,35,35,50,40,90,FALSE,PU
GalarianMeowth,52.2,Steel,,Pickup,Tough Claws,Unnerve,16.5,290,50,65,55,40,40,40,TRUE,PU
Persian,53,Normal,,Limber,Technician,Unnerve,70.5,440,65,70,60,65,65,115,TRUE,PU
AlolanPersian,53.1,Dark,,Fur Coat,Technician,Rattled,72.8,440,65,60,60,75,65,115,FALSE,PU
Psyduck,54,Water,,Damp,Cloud Nine,Swift Swim,43.2,320,50,52,48,65,50,55,TRUE,PU
Golduck,55,Water,,Damp,Cloud Nine,Swift Swim,168.9,500,80,82,78,95,80,85,TRUE,PU
Mankey,56,Fighting,,Vital Spirit,Anger Point,Defiant,61.7,305,40,80,35,35,45,70,TRUE,PU
Primeape,57,Fighting,,Vital Spirit,Anger Point,Defiant,70.5,455,65,105,60,60,70,95,TRUE,RU
Growlithe,58,Fire,,Intimidate,Flash Fire,Justified,41.9,350,55,70,45,70,50,60,TRUE,PU
HisuianGrowlithe,58.1,Fire,Rock,Intimidate,Flash Fire,Rock Head,50,350,60,75,45,65,50,55,FALSE,
Arcanine,59,Fire,,Intimidate,Flash Fire,Justified,341.7,555,90,110,80,100,80,95,TRUE,RU
HisuianArcanine,59.1,Fire,Rock,Intimidate,Flash Fire,Rock Head,370.4,555,95,115,80,95,80,90,FALSE,
Poliwag,60,Water,,Water Absorb,Damp,Swift Swim,27.3,300,40,50,40,40,40,90,FALSE,PU
Poliwhirl,61,Water,,Water Absorb,Damp,Swift Swim,44.1,385,65,65,65,50,50,90,FALSE,PU
Poliwrath,62,Water,Fighting,Water Absorb,Damp,Swift Swim,119,510,90,95,95,70,90,70,FALSE,PU
Abra,63,Psychic,,Synchronize,Inner Focus,Magic Guard,43,310,25,20,15,105,55,90,FALSE,PU
Kadabra,64,Psychic,,Synchronize,Inner Focus,Magic Guard,124.6,400,40,35,30,120,70,105,FALSE,PU
Alakazam,65,Psychic,,Synchronize,Inner Focus,Magic Guard,105.8,500,55,50,45,135,95,120,FALSE,OU
MegaAlakazam,65.1,Psychic,,Trace,,,105.8,600,55,50,65,175,105,150,FALSE,OU
Machop,66,Fighting,,Guts,No Guard,Steadfast,43,305,70,80,50,35,35,35,FALSE,PU
Machoke,67,Fighting,,Guts,No Guard,Steadfast,155,405,80,100,70,50,60,45,FALSE,PU
Machamp,68,Fighting,,Guts,No Guard,Steadfast,286.6,505,90,130,80,65,85,55,FALSE,RU
Bellsprout,69,Grass,Poison,Chlorophyll,,Gluttony,8.8,300,50,75,35,70,30,40,FALSE,PU
Weepinbell,70,Grass,Poison,Chlorophyll,,Gluttony,14.1,390,65,90,50,85,45,55,FALSE,PU
Victreebel,71,Grass,Poison,Chlorophyll,,Gluttony,34.2,490,80,105,65,100,70,70,FALSE,PU
Tentacool,72,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,100.3,335,40,40,35,50,100,70,FALSE,PU
Tentacruel,73,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,121.3,515,80,70,65,80,120,100,FALSE,RU
Geodude,74,Rock,Ground,Rock Head,Sturdy,Sand Veil,44.1,300,40,80,100,30,30,20,FALSE,PU
AlolanGeodude,74.1,Rock,Electric,Magnet Pull,Sturdy,Galvanize,44.8,300,40,80,100,30,30,20,FALSE,PU
Graveler,75,Rock,Ground,Rock Head,Sturdy,Sand Veil,231.5,390,55,95,115,45,45,35,FALSE,PU
AlolanGraveler,75.1,Rock,Electric,Magnet Pull,Sturdy,Galvanize,242.5,390,55,95,115,45,45,35,FALSE,PU
Golem,76,Rock,Ground,Rock Head,Sturdy,Sand Veil,696.7,495,80,120,130,55,65,45,FALSE,PU
AlolanGolem,76.1,Rock,Electric,Magnet Pull,Sturdy,Galvanize,696.7,495,80,120,130,55,65,45,FALSE,PU
Ponyta,77,Fire,,Run Away,Flash Fire,Flame Body,66.1,410,50,85,55,65,65,90,FALSE,PU
GalarianPonyta,77.1,Psychic,,Run Away,Pastel Veil,Anticipation,52.9,410,50,85,55,65,65,90,FALSE,PU
Rapidash,78,Fire,,Run Away,Flash Fire,Flame Body,209.4,500,65,100,70,80,80,105,FALSE,PU
GalarianRapidash,78.1,Psychic,Fairy,Run Away,Pastel Veil,Anticipation,176.4,500,65,100,70,80,80,105,FALSE,RU
Slowpoke,79,Water,Psychic,Oblivious,Own Tempo,Regenerator,79.4,315,90,65,65,40,40,15,TRUE,PU
GalarianSlowpoke,79.1,Psychic,,Gluttony,Own Tempo,Regenerator,79.4,315,90,65,65,40,40,15,FALSE,PU
Slowbro,80,Water,Psychic,Oblivious,Own Tempo,Regenerator,173.1,490,95,75,110,100,80,30,TRUE,RU
MegaSlowbro,80.1,Water,Psychic,Shell Armor,,,264.6,590,95,75,180,130,80,30,FALSE,UU
GalarianSlowbro,80.2,Poison,Psychic,Quick Draw,Own Tempo,Regenerator,155.4,490,95,100,95,100,70,30,FALSE,OU
Magnemite,81,Electric,Steel,Magnet Pull,Sturdy,Analytic,13.2,325,25,35,70,95,55,45,TRUE,PU
Magneton,82,Electric,Steel,Magnet Pull,Sturdy,Analytic,132.3,465,50,60,95,120,70,70,TRUE,PU
Farfetch'd,83,Normal,Flying,Keen Eye,Inner Focus,Defiant,33.1,377,52,90,55,58,62,60,FALSE,PU
GalarianFarfetch'd,83.1,Fighting,,Steadfast,,Scrappy,92.6,377,52,95,55,58,62,55,FALSE,PU
Doduo,84,Normal,Flying,Run Away,Early Bird,Tangled Feet,86.4,310,35,85,45,35,35,75,FALSE,PU
Dodrio,85,Normal,Flying,Run Away,Early Bird,Tangled Feet,187.8,470,60,110,70,60,60,110,FALSE,PU
Seel,86,Water,,Thick Fat,Hydration,Ice Body,198.4,325,65,45,55,45,70,45,FALSE,PU
Dewgong,87,Water,Ice,Thick Fat,Hydration,Ice Body,264.6,475,90,70,80,70,95,70,FALSE,PU
Grimer,88,Poison,,Stench,Sticky Hold,Poison Touch,66.1,325,80,80,50,40,50,25,TRUE,PU
AlolanGrimer,88.1,Poison,Dark,Poison Touch,Gluttony,Power of APUhemy,92.6,325,80,80,50,40,50,25,FALSE,PU
Muk,89,Poison,,Stench,Sticky Hold,Poison Touch,66.1,500,105,105,75,65,100,50,TRUE,NU
AlolanMuk,89.1,Poison,Dark,Poison Touch,Gluttony,Power of APUhemy,114.6,500,105,105,75,65,100,50,FALSE,UU
Shellder,90,Water,,Shell Armor,Skill Link,Overcoat,8.8,305,30,65,100,45,25,40,TRUE,PU
Cloyster,91,Water,Ice,Shell Armor,Skill Link,Overcoat,292.1,525,50,95,180,85,45,70,TRUE,RU
Gastly,92,Ghost,Poison,Levitate,,,0.2,310,30,35,30,100,35,80,TRUE,PU
Haunter,93,Ghost,Poison,Levitate,,,0.2,405,45,50,45,115,55,95,TRUE,PU
Gengar,94,Ghost,Poison,Cursed Body,,,89.3,500,60,65,60,130,75,110,TRUE,UU
MegaGengar,94.1,Ghost,Poison,Shadow Tag,,,89.3,600,60,65,80,170,95,130,FALSE,Uber
Onix,95,Rock,Ground,Rock Head,Sturdy,Weak Armor,463.9,385,35,45,160,30,45,70,FALSE,PU
Drowzee,96,Psychic,,Insomnia,Forewarn,Inner Focus,71.4,328,60,48,45,43,90,42,TRUE,PU
Hypno,97,Psychic,,Insomnia,Forewarn,Inner Focus,166.7,483,85,73,70,73,115,67,TRUE,PU
Krabby,98,Water,,Hyper Cutter,Shell Armor,Sheer Force,14.3,325,30,105,90,25,25,50,FALSE,PU
Kingler,99,Water,,Hyper Cutter,Shell Armor,Sheer Force,132.3,475,55,130,115,50,50,75,FALSE,NU
Voltorb,100,Electric,,Soundproof,Static,Aftermath,22.9,330,40,30,50,55,55,100,TRUE,PU
HisuianVoltorb,100.1,Electric,Grass,Soundproof,Static,Aftermath,28.7,330,40,30,50,55,55,100,FALSE,
Electrode,101,Electric,,Soundproof,Static,Aftermath,146.8,490,60,50,70,80,80,150,TRUE,PU
HisuianElectrode,101.1,Electric,Grass,Soundproof,Static,Aftermath,156.5,490,60,50,70,80,80,150,FALSE,
Exeggcute,102,Grass,Psychic,Chlorophyll,,Harvest,5.5,325,60,40,80,60,45,40,FALSE,PU
Exeggutor,103,Grass,Psychic,Chlorophyll,,Harvest,916.2,530,95,95,85,125,75,55,FALSE,PU
AlolanExeggutor,103.1,Grass,Dragon,Frisk,,Harvest,916.2,530,95,105,85,125,75,45,FALSE,NU
Cubone,104,Ground,,Rock Head,Lightning Rod,Battle Armor,14.3,320,50,50,95,40,50,35,FALSE,PU
Marowak,105,Ground,,Rock Head,Lightning Rod,Battle Armor,99.2,425,60,80,110,50,80,45,FALSE,PU
AlolanMarowak,105.1,Fire,Ghost,Cursed Body,Lightning Rod,Rock Head,75,425,60,80,110,50,80,45,FALSE,RU
Hitmonlee,106,Fighting,,Limber,Reckless,Unburden,109.8,455,50,120,53,35,110,87,FALSE,PU
Hitmonchan,107,Fighting,,Keen Eye,Iron Fist,Inner Focus,110.7,455,50,105,79,35,110,76,FALSE,PU
Lickitung,108,Normal,,Own Tempo,Oblivious,Cloud Nine,144.4,385,90,55,75,60,75,30,FALSE,PU
Koffing,109,Poison,,Levitate,Neutralizing Gas,Stench,2.2,340,40,65,95,60,45,35,FALSE,PU
Weezing,110,Poison,,Levitate,Neutralizing Gas,Stench,20.9,490,65,90,120,85,70,60,FALSE,PU
GalarianWeezing,110.1,Poison,Fairy,Levitate,Neutralizing Gas,Misty Surge,35.3,490,65,90,120,85,70,60,FALSE,RU
Rhyhorn,111,Ground,Rock,Lightning Rod,Rock Head,Reckless,253.5,345,80,85,95,30,30,25,FALSE,PU
Rhydon,112,Ground,Rock,Lightning Rod,Rock Head,Reckless,264.6,485,105,130,120,45,45,40,FALSE,PU
Chansey,113,Normal,,Natural Cure,Serene Grace,Healer,76.3,450,250,5,5,35,105,50,TRUE,NU
Tangela,114,Grass,,Chlorophyll,Leaf Guard,Regenerator,77.2,435,65,55,115,100,40,60,FALSE,PU
Kangaskhan,115,Normal,,Early Bird,Scrappy,Inner Focus,176.4,490,105,95,80,40,80,90,FALSE,PU
MegaKangaskhan,115.1,Normal,,Parental Bond,,,220.5,590,105,125,100,60,100,100,FALSE,Uber
Horsea,116,Water,,Swift Swim,Sniper,Damp,17.6,295,30,40,70,70,25,60,FALSE,PU
Seadra,117,Water,,Poison Point,Sniper,Damp,55.1,440,55,65,95,95,45,85,FALSE,PU
Goldeen,118,Water,,Swift Swim,Water Veil,Lightning Rod,33.1,320,45,67,60,35,50,63,FALSE,PU
Seaking,119,Water,,Swift Swim,Water Veil,Lightning Rod,86,450,80,92,65,65,80,68,FALSE,PU
Staryu,120,Water,,Illuminate,Natural Cure,Analytic,76.1,340,30,45,55,70,55,85,FALSE,PU
Starmie,121,Water,Psychic,Illuminate,Natural Cure,Analytic,176.4,520,60,75,85,100,85,115,FALSE,NU
Mr.Mime,122,Psychic,Fairy,Soundproof,Filter,Technician,120.1,460,40,45,65,100,120,90,FALSE,PU
GalarianMr.Mime,122.1,Ice,Psychic,Vital Spirit,Screen Cleaner,Ice Body,125.2,460,50,65,65,90,90,100,FALSE,PU
Scyther,123,Bug,Flying,Swarm,Technician,Steadfast,123.5,500,70,110,80,55,80,105,TRUE,NU
Jynx,124,Ice,Psychic,Oblivious,Forewarn,Dry Skin,89.5,455,65,50,35,115,95,95,FALSE,PU
Electabuzz,125,Electric,,Static,,Vital Spirit,66.1,490,65,83,57,95,85,105,FALSE,PU
Magmar,126,Fire,,Flame Body,,Vital Spirit,98.1,495,65,95,57,100,85,93,FALSE,PU
Pinsir,127,Bug,,Hyper Cutter,Mold Breaker,Moxie,121.3,500,65,125,100,55,70,85,FALSE,PU
MegaPinsir,127.1,Bug,Flying,Aerilate,,,130.1,600,65,155,120,65,90,105,FALSE,OU
Tauros,128,Normal,,Intimidate,Anger Point,Sheer Force,194.4,490,75,100,95,40,70,110,FALSE,NU
Tauros-AquaBreed,128.1,Fighting,Water,Intimidate,Anger Point,Cud Chew,242.5,490,75,110,105,30,70,100,TRUE,RU
Tauros-BlazeBreed,128.2,Fighting,Fire,Intimidate,Anger Point,Cud Chew,187.4,490,75,110,105,30,70,100,TRUE,RU
Tauros-CombatBreed,128.3,Fighting,,Intimidate,Anger Point,Cud Chew,253.5,490,75,110,105,30,70,100,TRUE,NU
Magikarp,129,Water,,Swift Swim,,Rattled,22,200,20,10,55,15,20,80,TRUE,PU
Gyarados,130,Water,Flying,Intimidate,,Moxie,518.1,540,95,125,79,60,100,81,TRUE,UU
MegaGyarados,130.1,Water,Dark,Mold Breaker,,,672.4,640,95,155,109,70,130,81,FALSE,OU
Lapras,131,Water,Ice,Water Absorb,Shell Armor,Hydration,485,535,130,85,80,85,95,60,FALSE,PU
Ditto,132,Normal,,Limber,,Imposter,8.8,288,48,48,48,48,48,48,TRUE,RU
Eevee,133,Normal,,Run Away,Adaptability,Anticipation,14.3,325,55,55,50,45,65,55,TRUE,PU
Vaporeon,134,Water,,Water Absorb,,Hydration,63.9,525,130,65,60,110,95,65,TRUE,NU
Jolteon,135,Electric,,Volt Absorb,,Quick Feet,54,525,65,65,60,110,95,130,TRUE,NU
Flareon,136,Fire,,Flash Fire,,Guts,55.1,525,65,130,60,95,110,65,TRUE,PU
Porygon,137,Normal,,Trace,Download,Analytic,80.5,395,65,60,70,85,75,40,FALSE,PU
Omanyte,138,Rock,Water,Swift Swim,Shell Armor,Weak Armor,16.5,355,35,40,100,90,55,35,FALSE,PU
Omastar,139,Rock,Water,Swift Swim,Shell Armor,Weak Armor,77.2,495,70,60,125,115,70,55,FALSE,NU
Kabuto,140,Rock,Water,Swift Swim,Battle Armor,Weak Armor,25.4,355,30,80,90,55,45,55,FALSE,PU
Kabutops,141,Rock,Water,Swift Swim,Battle Armor,Weak Armor,89.3,495,60,115,105,65,70,80,FALSE,PU
Aerodactyl,142,Rock,Flying,Rock Head,Pressure,Unnerve,130.1,515,80,105,65,60,75,130,FALSE,NU
MegaAerodactyl,142.1,Rock,Flying,Tough Claws,,,174.2,615,80,135,85,70,95,150,FALSE,UU
Snorlax,143,Normal,,Immunity,Thick Fat,Gluttony,1014.1,540,160,110,65,65,110,30,FALSE,NU
Articuno,144,Ice,Flying,Pressure,,Snow Cloak,122.1,580,90,85,100,95,125,85,FALSE,PU
GalarianArticuno,144.1,Psychic,Flying,Competitive,,,112.2,580,90,85,85,125,100,95,FALSE,PU
Zapdos,145,Electric,Flying,Pressure,,Static,116,580,90,90,85,125,90,100,FALSE,OU
GalarianZapdos,145.1,Fighting,Flying,Defiant,,,128.3,580,90,125,90,85,90,100,FALSE,OU
Moltres,146,Fire,Flying,Pressure,,Flame Body,132.3,580,90,100,90,125,85,90,FALSE,UU
GalarianMoltres,146.1,Dark,Flying,Berserk,,,145.5,580,90,85,90,100,125,90,FALSE,OU
Dratini,147,Dragon,,Shed Skin,,Marvel Scale,7.3,300,41,64,45,50,50,50,TRUE,PU
Dragonair,148,Dragon,,Shed Skin,,Marvel Scale,36.4,420,61,84,65,70,70,70,TRUE,PU
Dragonite,149,Dragon,Flying,Inner Focus,,Multiscale,463.9,600,91,134,95,100,100,80,TRUE,OU
Mewtwo,150,Psychic,,Pressure,,Unnerve,269,680,106,110,90,154,90,130,FALSE,Uber
MegaMewtwoX,150.1,Psychic,Fighting,Steadfast,,,280,780,106,190,100,154,100,130,FALSE,Uber
MegaMewtwoY,150.2,Psychic,,Insomnia,,,72.8,780,106,150,70,194,120,140,FALSE,Uber
Mew,151,Psychic,,Synchronize,,,8.8,600,100,100,100,100,100,100,FALSE,OU
Chikorita,152,Grass,,Overgrow,,Leaf Guard,14.1,318,45,49,65,49,65,45,FALSE,PU
Bayleef,153,Grass,,Overgrow,,Leaf Guard,34.8,405,60,62,80,63,80,60,FALSE,PU
Meganium,154,Grass,,Overgrow,,Leaf Guard,221.6,525,80,82,100,83,100,80,FALSE,PU
Cyndaquil,155,Fire,,Blaze,,Flash Fire,17.4,309,39,52,43,60,50,65,FALSE,PU
Quilava,156,Fire,,Blaze,,Flash Fire,41.9,405,58,64,58,80,65,80,FALSE,PU
Typhlosion,157,Fire,,Blaze,,Flash Fire,175.3,534,78,84,78,109,85,100,FALSE,NU
HisuianTyphlosion,157.1,Fire,Ghost,Blaze,,Frisk,153.9,534,73,84,78,119,85,95,FALSE,
Totodile,158,Water,,Torrent,,Sheer Force,20.9,314,50,65,64,44,48,43,FALSE,PU
Croconaw,159,Water,,Torrent,,Sheer Force,55.1,405,65,80,80,59,63,58,FALSE,PU
Feraligatr,160,Water,,Torrent,,Sheer Force,195.8,530,85,105,100,79,83,78,FALSE,UU
Sentret,161,Normal,,Run Away,Keen Eye,Frisk,13.2,215,35,46,34,35,45,20,FALSE,PU
Furret,162,Normal,,Run Away,Keen Eye,Frisk,71.6,415,85,76,64,45,55,90,FALSE,PU
Hoothoot,163,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,46.7,262,60,30,30,36,56,50,FALSE,PU
Noctowl,164,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,89.9,452,100,50,50,86,96,70,FALSE,PU
Ledyba,165,Bug,Flying,Swarm,Early Bird,Rattled,23.8,265,40,20,30,40,80,55,FALSE,PU
Ledian,166,Bug,Flying,Swarm,Early Bird,Iron Fist,78.5,390,55,35,50,55,110,85,FALSE,PU
Spinarak,167,Bug,Poison,Swarm,Insomnia,Sniper,18.7,250,40,60,40,40,40,30,FALSE,PU
Ariados,168,Bug,Poison,Swarm,Insomnia,Sniper,73.9,400,70,90,70,60,70,40,FALSE,PU
Crobat,169,Poison,Flying,Inner Focus,,Infiltrator,165.3,535,85,90,80,70,80,130,FALSE,RU
Chinchou,170,Water,Electric,Volt Absorb,Illuminate,Water Absorb,26.5,330,75,38,38,56,56,67,FALSE,PU
Lanturn,171,Water,Electric,Volt Absorb,Illuminate,Water Absorb,49.6,460,125,58,58,76,76,67,FALSE,PU
Pichu,172,Electric,,Static,,Lightning Rod,4.4,205,20,40,15,35,35,60,TRUE,PU
Cleffa,173,Fairy,,Cute Charm,Magic Guard,Friend Guard,6.6,218,50,25,28,45,55,15,FALSE,PU
Igglybuff,174,Normal,Fairy,Cute Charm,Competitive,Friend Guard,2.2,210,90,30,15,40,20,15,TRUE,PU
Togepi,175,Fairy,,Hustle,Serene Grace,Super Luck,3.3,245,35,20,65,40,65,20,FALSE,PU
Togetic,176,Fairy,Flying,Hustle,Serene Grace,Super Luck,7.1,405,55,40,85,80,105,40,FALSE,PU
Natu,177,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,4.4,320,40,50,45,70,45,70,FALSE,PU
Xatu,178,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,33.1,470,65,75,70,95,70,95,FALSE,NU
Mareep,179,Electric,,Static,,Plus,17.2,280,55,40,40,65,45,35,TRUE,PU
Flaaffy,180,Electric,,Static,,Plus,29.3,365,70,55,55,80,60,45,TRUE,PU
Ampharos,181,Electric,,Static,,Plus,135.6,510,90,75,85,115,90,55,TRUE,PU
MegaAmpharos,181.1,Electric,Dragon,Mold Breaker,,,135.6,610,90,95,105,165,110,45,FALSE,RU
Bellossom,182,Grass,,Chlorophyll,,Healer,12.8,490,75,80,95,90,100,50,FALSE,PU
Marill,183,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,18.7,250,70,20,50,20,50,40,TRUE,PU
Azumarill,184,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,62.8,420,100,50,80,60,80,50,TRUE,OU
Sudowoodo,185,Rock,,Sturdy,Rock Head,Rattled,83.8,410,70,100,115,30,65,30,TRUE,PU
Politoed,186,Water,,Water Absorb,Damp,Drizzle,74.7,500,90,75,75,90,100,70,FALSE,PU
