attackName,attackID,attackType,category,power,accuracy,maxPP,effect,probability
BabyDollEyes,41,Fairy,Status,,100,30,Always goes first. Lowers the target's attack.,
BaddyBad,42,Dark,Special,90,100,15,Reduces damage from Physical attacks.,
BanefulBunker,43,Poison,Status,,,10,Protects the user and poisons opponent on contact.,
BarbBarrage,44,Poison,Physical,60,100,10,Inflicts double damage if the target has a status condition.,
Barrage,45,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,
Barrier,46,Psychic,Status,,,20,Sharply raises user's Defense.,
BatonPass,47,Normal,Status,,,40,User switches out and gives stat changes to the incoming Pokémon.,
BeakBlast,48,Flying,Physical,100,100,15,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",
BeatUp,49,Dark,Physical,,100,10,Each Pokémon in user's party attacks.,
BehemothBash,50,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,
BehemothBlade,51,Steel,Physical,100,100,5,Damage doubles if target is Dynamaxed.,
Belch,52,Poison,Special,120,90,10,User must have consumed a Berry.,
BellyDrum,53,Normal,Status,,,10,"User loses 50% of its max HP, but Attack raises to maximum.",
Bestow,54,Normal,Status,,,15,Gives the user's held item to the target.,
Bide,55,Normal,Physical,,,10,User takes damage for two turns then strikes back double.,
Bind,56,Normal,Physical,15,85,20,"Traps opponent, damaging them for 4-5 turns.",100
Bite,57,Dark,Physical,60,100,25,May cause flinching.,30
BitterBlade,58,Fire,Physical,90,100,10,User recovers half the HP inflicted on opponent.,
BitterMalice,59,Ghost,Special,75,100,10,Inflicts double damage if the target has a status condition.,
BlastBurn,60,Fire,Special,150,90,5,User must recharge next turn.,
BlazeKick,61,Fire,Physical,85,90,10,High critical hit ratio. May burn opponent.,10
BlazingTorque,62,Fire,Physical,80,100,10,,
BleakwindStorm,63,Flying,Special,100,80,10,May cause frostbite.,
Blizzard,64,Ice,Special,110,70,5,May freeze opponent.,10
Block,65,Normal,Status,,,5,Opponent cannot flee or switch.,
BlueFlare,66,Fire,Special,130,85,5,May burn opponent.,20
BodyPress,67,Fighting,Physical,80,100,10,"The higher the user's Defense, the stronger the attack.",
BodySlam,68,Normal,Physical,85,100,15,May paralyze opponent.,30
BoltBeak,69,Electric,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",
BoltStrike,70,Electric,Physical,130,85,5,May paralyze opponent.,20
BoneClub,71,Ground,Physical,65,85,20,May cause flinching.,10
BoneRush,72,Ground,Physical,25,90,10,Hits 2-5 times in one turn.,
Bonemerang,73,Ground,Physical,50,90,10,Hits twice in one turn.,
Boomburst,74,Normal,Special,140,100,10,Hits all adjacent Pokémon.,
Bounce,75,Flying,Physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent.",30
BouncyBubble,76,Water,Special,90,100,15,User recovers half the HP inflicted on opponent.,
BranchPoke,77,Grass,Physical,40,100,40,,
BraveBird,78,Flying,Physical,120,100,15,User receives recoil damage.,
BreakingSwipe,79,Dragon,Physical,60,100,15,Hits multiple opponents and lowers their attack.,100
BrickBreak,80,Fighting,Physical,75,100,15,Breaks through Reflect and Light Screen barriers.,
Brine,81,Water,Special,65,100,10,Power doubles if opponent's HP is less than 50%.,
BrutalSwing,82,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,
Bubble,83,Water,Special,40,100,30,May lower opponent's Speed.,10
BubbleBeam,84,Water,Special,65,100,20,May lower opponent's Speed.,10
BugBite,85,Bug,Physical,60,100,20,Receives the effect from the opponent's held berry.,
BugBuzz,86,Bug,Special,90,100,10,May lower opponent's Special Defense.,10
BulkUp,87,Fighting,Status,,,20,Raises user's Attack and Defense.,
Bulldoze,88,Ground,Physical,60,100,20,Lowers opponent's Speed.,100
BulletPunch,89,Steel,Physical,40,100,30,User attacks first.,
BulletSeed,90,Grass,Physical,25,100,30,Hits 2-5 times in one turn.,
BurnUp,91,Fire,Special,130,100,5,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",
BurningJealousy,92,Fire,Special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted.",
BuzzyBuzz,93,Electric,Special,90,100,15,Paralyzes the opponent.,100
CalmMind,94,Psychic,Status,,,20,Raises user's Special Attack and Special Defense.,
Camouflage,95,Normal,Status,,,20,Changes user's type according to the location.,
Captivate,96,Normal,Status,,100,20,Sharply lowers opponent's Special Attack if opposite gender.,
CeaselessEdge,97,Dark,Physical,65,90,15,High critical hit ratio. Damages target with splinters each turn.,
Celebrate,98,Normal,Status,,,40,The Pokémon congratulates you on your special day. No battle effect.,
Charge,99,Electric,Status,,,20,Raises user's Special Defense and next Electric move's power increases.,
ChargeBeam,100,Electric,Special,50,90,10,May raise user's Special Attack.,70
Charm,101,Fairy,Status,,100,20,Sharply lowers opponent's Attack.,
Chatter,102,Flying,Special,65,100,20,Confuses opponent.,100
ChillingWater,103,Water,Special,50,100,20,Lowers opponent's Attack.,
ChillyReception,104,Ice,Status,,,10,Switches out and summons a snowstorm lasting 5 turns.,
ChipAway,105,Normal,Physical,70,100,20,Ignores opponent's stat changes.,
Chloroblast,106,Grass,Special,150,95,5,User receives recoil damage.,
CircleThrow,107,Fighting,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Clamp,108,Water,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
ClangingScales,109,Dragon,Special,110,100,5,Lowers user's Defense.,100
ClangorousSoul,110,Dragon,Status,,100,5,Raises all user's stats but loses HP.,100
ClearSmog,111,Poison,Special,50,,15,Removes all of the target's stat changes.,
CloseCombat,112,Fighting,Physical,120,100,5,Lowers user's Defense and Special Defense.,100
Coaching,113,Fighting,Status,,,10,Boosts Attack and Defense of a teammate.,
Coil,114,Poison,Status,,,20,"Raises user's Attack, Defense and Accuracy.",
CollisionCourse,115,Fighting,Physical,100,100,5,Boosted even more if it's super-effective.,
CombatTorque,116,Fighting,Physical,100,100,10,,
CometPunch,117,Normal,Physical,18,85,15,Hits 2-5 times in one turn.,
Comeuppance,118,Dark,Physical,1,100,10,Deals more damage to the opponent that last inflicted damage on it.,
Confide,119,Normal,Status,,,20,Lowers opponent's Special Attack.,100
ConfuseRay,120,Ghost,Status,,100,10,Confuses opponent.,
Confusion,121,Psychic,Special,50,100,25,May confuse opponent.,10
Constrict,122,Normal,Physical,10,100,35,May lower opponent's Speed by one stage.,10
Conversion,123,Normal,Status,,,30,Changes user's type to that of its first move.,
Conversion2,124,Normal,Status,,,30,User changes type to become resistant to opponent's last move.,
Copycat,125,Normal,Status,,,20,Copies opponent's last move.,
CoreEnforcer,126,Dragon,Special,100,100,10,Suppresses the target's ability if the target has already moved.,
CorrosiveGas,127,Poison,Status,,100,40,Removes opponent's items.,
CosmicPower,128,Psychic,Status,,,20,Raises user's Defense and Special Defense.,
CottonGuard,129,Grass,Status,,,10,Drastically raises user's Defense.,
CottonSpore,130,Grass,Status,,100,40,Sharply lowers opponent's Speed.,
Counter,131,Fighting,Physical,,100,20,"When hit by a Physical Attack, user strikes back with 2x power.",
CourtChange,132,Normal,Status,,100,10,Swaps the effects on either side of the field.,
Covet,133,Normal,Physical,60,100,25,Opponent's item is stolen by the user.,
Crabhammer,134,Water,Physical,100,90,10,High critical hit ratio.,
CraftyShield,135,Fairy,Status,,,10,Protects the Pokémon from status moves.,
CrossChop,136,Fighting,Physical,100,80,5,High critical hit ratio.,
CrossPoison,137,Poison,Physical,70,100,20,High critical hit ratio. May poison opponent.,10
Crunch,138,Dark,Physical,80,100,15,May lower opponent's Defense.,20
CrushClaw,139,Normal,Physical,75,95,10,May lower opponent's Defense.,50
CrushGrip,140,Normal,Physical,,100,5,More powerful when opponent has higher HP.,
Curse,141,Ghost,Status,,,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",
Cut,142,Normal,Physical,50,95,30,,
DarkPulse,143,Dark,Special,80,100,15,May cause flinching.,20
DarkVoid,144,Dark,Status,,50,10,Puts all adjacent opponents to sleep.,
DarkestLariat,145,Dark,Physical,85,100,10,Ignores opponent's stat changes.,
DazzlingGleam,146,Fairy,Special,80,100,10,Hits all adjacent opponents.,
Decorate,147,Fairy,Status,,,15,Sharply raises target's Attack and Special Attack.,100
DefendOrder,148,Bug,Status,,,10,Raises user's Defense and Special Defense.,
DefenseCurl,149,Normal,Status,,,40,Raises user's Defense.,
Defog,150,Flying,Status,,,15,Lowers opponent's Evasiveness and clears fog.,
DestinyBond,151,Ghost,Status,,,5,"If the user faints, the opponent also faints.",
Detect,152,Fighting,Status,,,5,"Protects the user, but may fail if used consecutively.",
DiamondStorm,153,Rock,Physical,100,95,5,May sharply raise user's Defense.,50
Dig,154,Ground,Physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves.",
DireClaw,155,Poison,Physical,80,100,15,"High critical hit ratio. May poison, paralyze or make the opponent drowsy.",
Disable,156,Normal,Status,,100,20,Opponent can't use its last attack for a few turns.,
DisarmingVoice,157,Fairy,Special,40,,15,Ignores Accuracy and Evasiveness.,
Discharge,158,Electric,Special,80,100,15,May paralyze opponent.,30
Dive,159,Water,Physical,80,100,10,"Dives underwater on first turn, attacks on second turn.",
DizzyPunch,160,Normal,Physical,70,100,10,May confuse opponent.,20
Doodle,161,Normal,Status,,100,10,Changes the abilities of the user and its teammates to that of the target.,
DoomDesire,162,Steel,Special,140,100,5,Damage occurs 2 turns later.,
DoubleHit,163,Normal,Physical,35,90,10,Hits twice in one turn.,
DoubleIronBash,164,Steel,Physical,60,100,5,Hits twice in one turn; may cause flinching.,30
DoubleKick,165,Fighting,Physical,30,100,30,Hits twice in one turn.,
DoubleShock,166,Electric,Physical,120,100,5,"After using this move, the user will no longer be Electric type.",
DoubleSlap,167,Normal,Physical,15,85,10,Hits 2-5 times in one turn.,
DoubleTeam,168,Normal,Status,,,15,Raises user's Evasiveness.,
DoubleEdge,169,Normal,Physical,120,100,15,User receives recoil damage.,
DracoMeteor,170,Dragon,Special,130,90,5,Sharply lowers user's Special Attack.,100
DragonAscent,171,Flying,Physical,120,100,5,Lowers user's Defense and Special Defense.,100
DragonBreath,172,Dragon,Special,60,100,20,May paralyze opponent.,30
DragonClaw,173,Dragon,Physical,80,100,15,,
DragonDance,174,Dragon,Status,,,20,Raises user's Attack and Speed.,
DragonDarts,175,Dragon,Physical,50,100,10,User attacks twice.,
DragonEnergy,176,Dragon,Special,150,100,5,"The higher the user's HP, the higher the power.",
DragonHammer,177,Dragon,Physical,90,100,15,The user uses its body like a hammer to attack the target and inflict damage.,
DragonPulse,178,Dragon,Special,85,100,10,,
DragonRage,179,Dragon,Special,,100,10,Always inflicts 40 HP.,
DragonRush,180,Dragon,Physical,100,75,10,May cause flinching.,20
DragonTail,181,Dragon,Physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs.",
DrainPunch,182,Fighting,Physical,75,100,10,User recovers half the HP inflicted on opponent.,
DrainingKiss,183,Fairy,Special,50,100,10,User recovers most the HP inflicted on opponent.,
DreamEater,184,Psychic,Special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.,
DrillPeck,185,Flying,Physical,80,100,20,,
DrillRun,186,Ground,Physical,80,95,10,High critical hit ratio.,
DrumBeating,187,Grass,Physical,80,100,10,Lowers opponent's Speed.,100
DualChop,188,Dragon,Physical,40,90,15,Hits twice in one turn.,
DualWingbeat,189,Flying,Physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.,
DynamaxCannon,190,Dragon,Special,100,100,5,Damage doubles if opponent is Dynamaxed.,
DynamicPunch,191,Fighting,Physical,100,50,5,Confuses opponent.,100
EarthPower,192,Ground,Special,90,100,10,May lower opponent's Special Defense.,10
Earthquake,193,Ground,Physical,100,100,10,Power is doubled if opponent is underground from using Dig.,
EchoedVoice,194,Normal,Special,40,100,15,Power increases each turn.,
EerieImpulse,195,Electric,Status,,100,15,Sharply lowers opponent's Special Attack.,
EerieSpell,196,Psychic,Special,80,100,5,Deals damage and reduces opponent's PP.,
EggBomb,197,Normal,Physical,100,75,10,,
ElectricTerrain,198,Electric,Status,,,10,Prevents all Pokémon from falling asleep for 5 turns.,
Electrify,199,Electric,Status,,,20,Changes the target's move to Electric type.,
ElectroBall,200,Electric,Special,,100,10,"The faster the user, the stronger the attack.",
ElectroDrift,201,Electric,Special,100,100,5,Boosted even more if it's super-effective.,
Electroweb,202,Electric,Special,55,95,15,Lowers opponent's Speed.,100
Embargo,203,Dark,Status,,100,15,Opponent cannot use items.,
Ember,204,Fire,Special,40,100,25,May burn opponent.,10
Encore,205,Normal,Status,,100,5,Forces opponent to keep using its last move for 3 turns.,
Endeavor,206,Normal,Physical,,100,5,Reduces opponent's HP to same as user's.,
Endure,207,Normal,Status,,,10,"Always left with at least 1 HP, but may fail if used consecutively.",
EnergyBall,208,Grass,Special,90,100,10,May lower opponent's Special Defense.,10
Entrainment,209,Normal,Status,,100,15,Makes target's ability same as user's.,
Eruption,210,Fire,Special,150,100,5,Stronger when the user's HP is higher.,
EsperWing,211,Psychic,Special,80,100,10,High critical hit ratio. Raises user's Speed.,
Eternabeam,212,Dragon,Special,160,90,5,User can't move on the next turn.,
ExpandingForce,213,Psychic,Special,80,100,10,Increases power and hits all opponents on Psychic Terrain.,
Explosion,214,Normal,Physical,250,100,5,User faints.,
Extrasensory,215,Psychic,Special,80,100,20,May cause flinching.,10
ExtremeSpeed,216,Normal,Physical,80,100,5,User attacks first.,
Facade,217,Normal,Physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed.",
FairyLock,218,Fairy,Status,,,10,Prevents fleeing in the next turn.,
FairyWind,219,Fairy,Special,40,100,30,,
FakeOut,220,Normal,Physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn.",100
FakeTears,221,Dark,Status,,100,20,Sharply lowers opponent's Special Defense.,
FalseSurrender,222,Dark,Physical,80,,10,Ignores Accuracy and Evasiveness.,
FalseSwipe,223,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,
FeatherDance,224,Flying,Status,,100,15,Sharply lowers opponent's Attack.,
Feint,225,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.,
FeintAttack,226,Dark,Physical,60,,20,Ignores Accuracy and Evasiveness.,
FellStinger,227,Bug,Physical,50,100,25,Drastically raises user's Attack if target is KO'd.,
FieryDance,228,Fire,Special,80,100,10,May raise user's Special Attack.,50
FieryWrath,229,Dark,Special,90,100,10,May cause flinching.,20
FilletAway,230,Normal,Status,,,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.",
FinalGambit,231,Fighting,Special,,100,5,Inflicts damage equal to the user's remaining HP. User faints.,
FireBlast,232,Fire,Special,110,85,5,May burn opponent.,10
FireFang,233,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.,10
FireLash,234,Fire,Physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100
FirePledge,235,Fire,Special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.,
FirePunch,236,Fire,Physical,75,100,15,May burn opponent.,10
FireSpin,237,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.",100
FirstImpression,238,Bug,Physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle.",
FishiousRend,239,Water,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.",
Fissure,240,Ground,Physical,,30,5,"One-Hit-KO, if it hits.",
Flail,241,Normal,Physical,,100,15,"The lower the user's HP, the higher the power.",
FlameBurst,242,Fire,Special,70,100,15,May also injure nearby Pokémon.,
FlameCharge,243,Fire,Physical,50,100,20,Raises user's Speed.,100
FlameWheel,244,Fire,Physical,60,100,25,May burn opponent.,10
Flamethrower,245,Fire,Special,90,100,15,May burn opponent.,10
FlareBlitz,246,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.,10
Flash,247,Normal,Status,,100,20,Lowers opponent's Accuracy.,
FlashCannon,248,Steel,Special,80,100,10,May lower opponent's Special Defense.,10
Flatter,249,Dark,Status,,100,15,"Confuses opponent, but raises its Special Attack.",
FleurCannon,250,Fairy,Special,130,90,5,Sharply lowers user's Special Attack.,100
Fling,251,Dark,Physical,,100,10,Power depends on held item.,
FlipTurn,252,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",
FloatyFall,253,Flying,Physical,90,95,15,May cause flinching.,30
FloralHealing,254,Fairy,Status,,,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,
FlowerShield,255,Fairy,Status,,,10,Sharply raises Defense of all Grass-type Pokémon on the field.,100
FlowerTrick,256,Grass,Physical,70,,10,Never misses; always results in a critical hit.,
Fly,257,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn.",
FlyingPress,258,Fighting,Physical,100,95,10,Deals Fighting and Flying type damage.,
FocusBlast,259,Fighting,Special,120,70,5,May lower opponent's Special Defense.,10
FocusEnergy,260,Normal,Status,,,30,Increases critical hit ratio.,
FocusPunch,261,Fighting,Physical,150,100,20,"If the user is hit before attacking, it flinches instead.",
FollowMe,262,Normal,Status,,,20,"In Double Battle, the user takes all the attacks.",
ForcePalm,263,Fighting,Physical,60,100,10,May paralyze opponent.,30
Foresight,264,Normal,Status,,,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",
ForestsCurse,265,Grass,Status,,100,20,Adds Grass type to opponent.,
FoulPlay,266,Dark,Physical,95,100,15,Uses the opponent's Attack stat.,
FreezeShock,267,Ice,Physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent.",30
FreezeDry,268,Ice,Special,70,100,20,May freeze opponent. Super-effective against Water types.,10
FreezingGlare,269,Psychic,Special,90,100,10,May freeze opponent.,10
FreezyFrost,270,Ice,Special,90,100,15,Resets all stat changes.,
FrenzyPlant,271,Grass,Special,150,90,5,User must recharge next turn.,
FrostBreath,272,Ice,Special,60,90,10,Always results in a critical hit.,100
Frustration,273,Normal,Physical,,100,20,Power decreases with higher Friendship.,
FuryAttack,274,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,
FuryCutter,275,Bug,Physical,40,95,20,Power increases each turn.,
FurySwipes,276,Normal,Physical,18,80,15,Hits 2-5 times in one turn.,
FusionBolt,277,Electric,Physical,100,100,5,Power increases if Fusion Flare is used in the same turn.,
FusionFlare,278,Fire,Special,100,100,5,Power increases if Fusion Bolt is used in the same turn.,
FutureSight,279,Psychic,Special,120,100,10,Damage occurs 2 turns later.,
GastroAcid,280,Poison,Status,,100,10,Cancels out the effect of the opponent's Ability.,
GearGrind,281,Steel,Physical,50,85,15,Hits twice in one turn.,
GearUp,282,Steel,Status,,,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,
Geomancy,283,Fairy,Status,,,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",
GigaDrain,284,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.,
GigaImpact,285,Normal,Physical,150,90,5,User must recharge next turn.,
GigatonHammer,286,Steel,Physical,160,100,5,Cannot be used twice in a row.,
GlacialLance,287,Ice,Physical,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,
Glaciate,288,Ice,Special,65,95,10,Lowers opponent's Speed.,100
GlaiveRush,289,Dragon,Physical,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,
Glare,290,Normal,Status,,100,30,Paralyzes opponent.,
GlitzyGlow,291,Psychic,Special,90,100,15,Reduces damage from Special attacks.,
GrassKnot,292,Grass,Special,,100,20,"The heavier the opponent, the stronger the attack.",
GrassPledge,293,Grass,Special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,
GrassWhistle,294,Grass,Status,,55,15,Puts opponent to sleep.,
GrassyGlide,295,Grass,Physical,60,100,20,High priority during Grassy Terrain.,
GrassyTerrain,296,Grass,Status,,,10,Restores a little HP of all Pokémon for 5 turns.,
GravApple,297,Grass,Physical,80,100,10,Lowers the opponent's Defense stat.,100
Gravity,298,Psychic,Status,,,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,
Growl,299,Normal,Status,,100,40,Lowers opponent's Attack.,
Growth,300,Normal,Status,,,20,Raises user's Attack and Special Attack.,
Grudge,301,Ghost,Status,,,5,"If the users faints after using this move, the PP for the opponent's last move is depleted.",
GuardSplit,302,Psychic,Status,,,10,Averages Defense and Special Defense with the target.,
GuardSwap,303,Psychic,Status,,,10,User and opponent swap Defense and Special Defense.,
Guillotine,304,Normal,Physical,,30,5,"One-Hit-KO, if it hits.",
GunkShot,305,Poison,Physical,120,80,5,May poison opponent.,30
Gust,306,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce with double power.,
GyroBall,307,Steel,Physical,,100,5,"The slower the user, the stronger the attack.",
Hail,308,Ice,Status,,,10,Non-Ice types are damaged for 5 turns.,
HammerArm,309,Fighting,Physical,100,90,10,Lowers user's Speed.,100
HappyHour,310,Normal,Status,,,30,Doubles prize money from trainer battles.,
Harden,311,Normal,Status,,,30,Raises user's Defense.,
Haze,312,Ice,Status,,,30,Resets all stat changes.,
HeadCharge,313,Normal,Physical,120,100,15,User receives recoil damage.,
HeadSmash,314,Rock,Physical,150,80,5,User receives recoil damage.,
Headbutt,315,Normal,Physical,70,100,15,May cause flinching.,30
HeadlongRush,316,Ground,Physical,120,100,5,Lowers user's Defense.,
HealBell,317,Normal,Status,,,5,Heals the user's party's status conditions.,
HealBlock,318,Psychic,Status,,100,15,Prevents the opponent from restoring HP for 5 turns.,
HealOrder,319,Bug,Status,,,10,User recovers half its max HP.,
HealPulse,320,Psychic,Status,,,10,Restores half the target's max HP.,
HealingWish,321,Psychic,Status,,,10,The user faints and the next Pokémon released is fully healed.,
HeartStamp,322,Psychic,Physical,60,100,25,May cause flinching.,30
HeartSwap,323,Psychic,Status,,,10,Stat changes are swapped with the opponent.,
HeatCrash,324,Fire,Physical,,100,10,"The heavier the user, the stronger the attack.",
HeatWave,325,Fire,Special,95,90,10,May burn opponent.,10
HeavySlam,326,Steel,Physical,,100,10,"The heavier the user, the stronger the attack.",
HelpingHand,327,Normal,Status,,,20,"In Double Battles, boosts the power of the partner's move.",
Hex,328,Ghost,Special,65,100,10,Inflicts more damage if the target has a status condition.,
HiddenPower,329,Normal,Special,60,100,15,Type and power depends on user's IVs.,
HighHorsepower,330,Ground,Physical,95,95,10,The user fiercely attacks the target using its entire body.,
HighJumpKick,331,Fighting,Physical,130,90,10,"If it misses, the user loses half their HP.",
HoldBack,332,Normal,Physical,40,100,40,Always leaves opponent with at least 1 HP.,
HoldHands,333,Normal,Status,,,40,Makes the user and an ally very happy.,
HoneClaws,334,Dark,Status,,,15,Raises user's Attack and Accuracy.,
HornAttack,335,Normal,Physical,65,100,25,,
HornDrill,336,Normal,Physical,,30,5,"One-Hit-KO, if it hits.",
HornLeech,337,Grass,Physical,75,100,10,User recovers half the HP inflicted on opponent.,
Howl,338,Normal,Status,,,40,Raises Attack of allies.,
Hurricane,339,Flying,Special,110,70,10,May confuse opponent.,30
HydroCannon,340,Water,Special,150,90,5,User must recharge next turn.,
HydroPump,341,Water,Special,110,80,5,,
HyperBeam,342,Normal,Special,150,90,5,User must recharge next turn.,
HyperDrill,343,Normal,Physical,100,100,5,Can strike through Protect/Detect.,
HyperFang,344,Normal,Physical,80,90,15,May cause flinching.,10
HyperVoice,345,Normal,Special,90,100,10,,
HyperspaceFury,346,Dark,Physical,100,,5,Lowers user's Defense. Can strike through Protect/Detect.,100
HyperspaceHole,347,Psychic,Special,80,,5,Can strike through Protect/Detect.,
Hypnosis,348,Psychic,Status,,60,20,Puts opponent to sleep.,
IceBall,349,Ice,Physical,30,90,20,Doubles in power each turn for 5 turns.,
IceBeam,350,Ice,Special,90,100,10,May freeze opponent.,10
IceBurn,351,Ice,Special,140,90,5,"Charges on first turn, attacks on second. May burn opponent.",30
IceFang,352,Ice,Physical,65,95,15,May cause flinching and/or freeze opponent.,10
IceHammer,353,Ice,Physical,100,90,10,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
IcePunch,354,Ice,Physical,75,100,15,May freeze opponent.,10
IceShard,355,Ice,Physical,40,100,30,User attacks first.,
IceSpinner,356,Ice,Physical,80,100,15,Removes effects of Terrain.,
IcicleCrash,357,Ice,Physical,85,90,10,May cause flinching.,30
IcicleSpear,358,Ice,Physical,25,100,30,Hits 2-5 times in one turn.,
IcyWind,359,Ice,Special,55,95,15,Lowers opponent's Speed.,100
Imprison,360,Psychic,Status,,,10,Opponent is unable to use moves that the user also knows.,
Incinerate,361,Fire,Special,60,100,15,Destroys the target's held berry.,
